"trailName","dist.","elevation","routeType","ratingCount","keywords","difficulty","avgRating"
"Solstice Canyon Loop Trail",3.2,797,"Loop",969,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|dogsonleash|kidfriendly|hiking|naturetrips|trailrunning|walking|river|views|waterfall|wildflowers|wildlife|bugs|historicsite","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Echo Mountain via Sam Merrill Trail",4.9,1404,"Out & Back",1049,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|dogsonleash|kidfriendly|birding|camping|hiking|horsebackriding|mountainbiking|naturetrips|trailrunning|walking|forest|river|views|wildflowers|wildlife|rocky|noshade","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Etiwanda Falls Trail",3.4,803,"Out & Back",1183,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|kidfriendly|birding|hiking|trailrunning|walking|partiallypaved|river|views|waterfall|wildlife|rocky|noshade|nodogs","MODERATE|MODERATE|MODERATE|MODERATE",4
"Icehouse Canyon to Cucamonga Peak Trail",11.6,4314,"Out & Back",893,"HARD|HARD|HARD|HARD|Out&Back|Out&Back|Out&Back|dogsonleash|backpacking|birding|camping|hiking|naturetrips|trailrunning|walking|forest|views|waterfall|wildflowers|wildlife|bugs|snow","HARD|HARD|HARD|HARD",5
"Upper and Lower Winter Creek Trail Loop",5.6,1420,"Loop",651,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|dogfriendly|backpacking|hiking|mountainbiking|naturetrips|trailrunning|forest|partiallypaved|river|views|wildflowers|wildlife|bugs|rocky","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Castle Rock Trail to Saratoga Gap Trail and Ridge Trail Loop",5.5,1213,"Loop",832,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|kidfriendly|backpacking|birding|camping|hiking|horsebackriding|mountainbiking|naturetrips|rockclimbing|skiing|trailrunning|walking|cave|forest|river|views|waterfall|wildflowers|wildlife|rocky|scramble|nodogs","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Three Sisters Waterfalls Trail",3.9,1207,"Out & Back",945,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|dogsonleash|birding|hiking|naturetrips|rockclimbing|forest|river|views|waterfall|wildlife|rocky|scramble|noshade","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Eagle Lake Trail",1.8,433,"Out & Back",704,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|dogsonleash|kidfriendly|birding|hiking|naturetrips|snowshoeing|trailrunning|walking|forest|lake|river|views|waterfall|wildflowers|wildlife|rocky|snow","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Dawn Mine and Sunset Trail Loop",4.9,1584,"Loop",662,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|dogsonleash|camping|hiking|naturetrips|rockclimbing|trailrunning|walking|cave|forest|river|views|waterfall|wildflowers|wildlife|bugs|oldgrowth|overgrown|scramble","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Paradise Falls Trail",2.7,495,"Loop",790,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|dogsonleash|kidfriendly|hiking|naturetrips|trailrunning|walking|partiallypaved|views|waterfall|wildlife","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Mount Whitney via Mount Whitney Trail",21.9,6715,"Out & Back",678,"HARD|HARD|HARD|HARD|Out&Back|Out&Back|Out&Back|backpacking|camping|crosscountryskiing|hiking|rockclimbing|snowshoeing|forest|lake|river|views|waterfall|wildflowers|wildlife|bugs|rocky|scramble|snow|nodogs","HARD|HARD|HARD|HARD",5
"Mishe Mokwa Trail to Sandstone Peak",5.6,1368,"Loop",804,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|dogsonleash|birding|hiking|naturetrips|trailrunning|walking|forest|views|wildflowers|wildlife|rocky|scramble","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Claremont Hills Wilderness Trail",4.7,846,"Loop",978,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|dogfriendly|kidfriendly|birding|hiking|horsebackriding|mountainbiking|naturetrips|trailrunning|walking|forest|partiallypaved|views|wildflowers|wildlife","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Horsetail Falls Trail",3.1,639,"Out & Back",660,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|dogfriendly|kidfriendly|birding|hiking|naturetrips|walking|forest|river|views|waterfall|wildlife|muddy|rocky|scramble|snow","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Moro Rock Trail",0.4,187,"Out & Back",437,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|birding|camping|fishing|hiking|naturetrips|rockclimbing|walking|lake|river|views|waterfall|wildflowers|wildlife|rocky|nodogs","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Los Penasquitos Canyon Trail",6.8,147,"Loop",920,"EASY|EASY|EASY|EASY|Loop|Loop|Loop|dogsonleash|kidfriendly|birding|mountainbiking|trailrunning|walking|forest|river|views|waterfall|wildflowers|wildlife|muddy|rocky","EASY|EASY|EASY|EASY",4
"Lake Hodges Overlook Trail",6.4,1371,"Out & Back",910,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|dogsonleash|hiking|horsebackriding|mountainbiking|forest|lake|river|views|wildflowers|wildlife|rocky|noshade","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"El Moro Canyon Loop Trail",5,816,"Loop",759,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|kidfriendly|backpacking|birding|camping|hiking|horsebackriding|mountainbiking|naturetrips|trailrunning|walking|beach|forest|partiallypaved|views|wildflowers|wildlife|rocky|nodogs","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Escondido Falls Trail",3.7,633,"Out & Back",710,"EASY|EASY|EASY|EASY|Out&Back|Out&Back|Out&Back|dogsonleash|kidfriendly|birding|hiking|mountainbiking|naturetrips|trailrunning|walking|forest|river|views|waterfall|wildflowers|wildlife|muddy|rocky","EASY|EASY|EASY|EASY",4
"Clementine Trail to Clark's Pool",4.5,698,"Out & Back",757,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|kidfriendly|birding|fishing|hiking|horsebackriding|mountainbiking|naturetrips|paddlesports|trailrunning|walking|lake|partiallypaved|river|views|waterfall|wildlife|washedout|nodogs","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Switzer Falls via Gabrielino Trail",4.3,725,"Out & Back",563,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|dogsonleash|kidfriendly|birding|camping|hiking|naturetrips|walking|forest|partiallypaved|river|views|waterfall|wildflowers|wildlife|bugs|rocky","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Cedar Creek Falls Trail",4.9,1033,"Out & Back",678,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|dogsonleash|kidfriendly|birding|camping|hiking|naturetrips|trailrunning|walking|views|waterfall|wildflowers|rocky|noshade","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"French Trail and Stream Trail Loop via Skyline Blvd",7,1272,"Loop",661,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|dogsonleash|birding|hiking|naturetrips|trailrunning|walking|forest|river|views|wildflowers|wildlife","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Santa Margarita River Trail",5,469,"Out & Back",745,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|dogsonleash|kidfriendly|hiking|horsebackriding|mountainbiking|naturetrips|trailrunning|walking|forest|river|views|wildflowers|wildlife|rocky|washedout","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"San Jacinto Peak from The Tramway",10.5,2644,"Out & Back",561,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|backpacking|birding|camping|hiking|naturetrips|rockclimbing|trailrunning|walking|forest|river|views|wildflowers|wildlife|bugs|rocky|scramble|snow|historicsite|nodogs","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Lower Yosemite Falls Trail",1,52,"Loop",502,"EASY|EASY|EASY|EASY|Loop|Loop|Loop|dogsonleash|wheelchairfriendly|kidfriendly|birding|hiking|naturetrips|trailrunning|walking|forest|partiallypaved|views|waterfall|wildflowers|wildlife","EASY|EASY|EASY|EASY",4.5
"Cataract Falls Trail",2.7,1112,"Out & Back",468,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|dogsonleash|kidfriendly|birding|hiking|naturetrips|trailrunning|walking|forest|lake|river|waterfall|scramble","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Mount Rubidoux Trail",2.7,393,"Loop",922,"EASY|EASY|EASY|EASY|Loop|Loop|Loop|dogsonleash|kidfriendly|birding|hiking|mountainbiking|naturetrips|rockclimbing|trailrunning|walking|partiallypaved|railstrails|views|wildflowers","EASY|EASY|EASY|EASY",4.5
"Rubicon Trail",11.9,1381,"Out & Back",535,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|birding|camping|fishing|hiking|mountainbiking|naturetrips|paddlesports|rockclimbing|trailrunning|walking|beach|forest|lake|views|waterfall|wildflowers|wildlife|rocky|nodogs","MODERATE|MODERATE|MODERATE|MODERATE",5
"Stevens Trail",9,1735,"Out & Back",668,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|dogfriendly|birding|hiking|mountainbiking|naturetrips|trailrunning|walking|cave|forest|river|views|waterfall|wildflowers|wildlife|noshade","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Vivian Creek Trail to San Gorgonio Peak",17.1,5452,"Out & Back",544,"HARD|HARD|HARD|HARD|Out&Back|Out&Back|Out&Back|dogsonleash|backpacking|camping|hiking|trailrunning|forest|river|views|waterfall|wildflowers|wildlife|bugs|rocky|snow","HARD|HARD|HARD|HARD",4.5
"Fortuna Mountain Trail",6,1332,"Loop",736,"HARD|HARD|HARD|HARD|Loop|Loop|Loop|dogsonleash|birding|hiking|mountainbiking|naturetrips|trailrunning|walking|views|waterfall|wildflowers|wildlife|noshade","HARD|HARD|HARD|HARD",4.5
"Mount Wilson Trail via Sturtevant Trail ",14.2,4291,"Loop",545,"HARD|HARD|HARD|HARD|Loop|Loop|Loop|dogsonleash|birding|camping|hiking|mountainbiking|naturetrips|trailrunning|walking|forest|views|waterfall|wildflowers|wildlife|bugs|scramble","HARD|HARD|HARD|HARD",4.5
"El Cajon Mountain Trail",10.6,3576,"Out & Back",712,"HARD|HARD|HARD|HARD|Out&Back|Out&Back|Out&Back|dogfriendly|birding|hiking|mountainbiking|naturetrips|rockclimbing|trailrunning|walking|river|views|wildflowers|wildlife|bugs|rocky|scramble|washedout|noshade","HARD|HARD|HARD|HARD",4.5
"Tomales Point Trail",9.4,1177,"Out & Back",542,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|birding|hiking|horsebackriding|naturetrips|trailrunning|walking|beach|views|wildlife|overgrown|nodogs","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Hollyridge Trail to Hollywood Sign Viewpoint",5.1,849,"Out & Back",494,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|dogsonleash|hiking|horsebackriding|mountainbiking|naturetrips|trailrunning|walking|partiallypaved|views|noshade","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Castle Rock Trail",2.6,833,"Out & Back",626,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|dogfriendly|birding|hiking|naturetrips|rockclimbing|trailrunning|walking|forest|views|wildlife|rocky|scramble|snow","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Ice House Canyon Trail",7.7,2637,"Loop",588,"HARD|HARD|HARD|HARD|Loop|Loop|Loop|dogsonleash|birding|camping|hiking|horsebackriding|naturetrips|trailrunning|walking|forest|river|views|wildflowers|wildlife|bugs|rocky","HARD|HARD|HARD|HARD",4.5
"PG&E, Upper High Meadow, Wildcat, Roque Valley and Coyote Loop",8,1692,"Loop",651,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|birding|hiking|trailrunning|walking|wildflowers|wildlife|nodogs","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Heart Rock Trail",1.3,262,"Loop",620,"EASY|EASY|EASY|EASY|Loop|Loop|Loop|dogsonleash|kidfriendly|birding|fishing|hiking|naturetrips|walking|forest|river|views|waterfall|wildflowers|wildlife|bugs","EASY|EASY|EASY|EASY",4.5
"Point Lobos Loop Trail",6.7,741,"Loop",628,"EASY|EASY|EASY|EASY|Loop|Loop|Loop|kidfriendly|birding|hiking|naturetrips|trailrunning|walking|beach|views|wildflowers|wildlife|nodogs","EASY|EASY|EASY|EASY",4.5
"Four Mile Trail",7.5,3277,"Out & Back",508,"HARD|HARD|HARD|HARD|Out&Back|Out&Back|Out&Back|birding|hiking|naturetrips|trailrunning|walking|forest|river|views|waterfall|wildflowers|wildlife|bugs|snow|nodogs","HARD|HARD|HARD|HARD",4.5
"Muir Woods Trail",2.2,144,"Loop",452,"EASY|EASY|EASY|EASY|Loop|Loop|Loop|kidfriendly|birding|hiking|naturetrips|trailrunning|walking|forest|partiallypaved|river|views|wildflowers|nodogs","EASY|EASY|EASY|EASY",4.5
"Clouds Rest Trail from Tenaya Lake",12.3,3113,"Out & Back",360,"HARD|HARD|HARD|HARD|Out&Back|Out&Back|Out&Back|backpacking|birding|camping|hiking|horsebackriding|naturetrips|trailrunning|walking|forest|lake|views|wildflowers|wildlife|rocky|scramble|nodogs","HARD|HARD|HARD|HARD",5
"Cascade Falls Trail",1.4,236,"Out & Back",434,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|dogsonleash|kidfriendly|birding|camping|hiking|naturetrips|walking|forest|lake|river|views|waterfall|wildflowers|wildlife|rocky|snow","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Homestead-Blue Ridge Trail",5.1,1456,"Loop",562,"HARD|HARD|HARD|HARD|Loop|Loop|Loop|hiking|trailrunning|walking|lake|views|wildflowers|rocky|noshade|nodogs","HARD|HARD|HARD|HARD",4.5
"Sentinel Dome Trail",2.1,456,"Out & Back",313,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|kidfriendly|birding|hiking|naturetrips|trailrunning|walking|forest|views|wildflowers|wildlife|nodogs","MODERATE|MODERATE|MODERATE|MODERATE",5
"Whittemore Gulch and Purisima Creek Loop Trail",9.4,2188,"Loop",496,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|birding|hiking|horsebackriding|mountainbiking|naturetrips|trailrunning|walking|forest|river|views|wildflowers|wildlife|muddy|nodogs","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Kwaay Paay Peak Trail",2.3,875,"Out & Back",747,"HARD|HARD|HARD|HARD|Out&Back|Out&Back|Out&Back|dogsonleash|kidfriendly|birding|camping|hiking|mountainbiking|naturetrips|trailrunning|walking|views|wildflowers|rocky","HARD|HARD|HARD|HARD",4.5
"Los Liones Canyon and East Topanga Fire Road",10.7,2483,"Loop",567,"HARD|HARD|HARD|HARD|Loop|Loop|Loop|birding|hiking|naturetrips|trailrunning|walking|forest|views|wildflowers|wildlife|nodogs","HARD|HARD|HARD|HARD",4.5
"Holy Jim Canyon Trail [CLOSED]",2.9,620,"Out & Back",415,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|dogsonleash|kidfriendly|birding|hiking|mountainbiking|naturetrips|trailrunning|walking|forest|views|waterfall|wildflowers|wildlife|rocky|closed","MODERATE|MODERATE|MODERATE|MODERATE",4
"Palos Verdes Bluffs Trail",2.7,557,"Loop",519,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|dogsonleash|birding|hiking|horsebackriding|mountainbiking|rockclimbing|trailrunning|walking|views|waterfall","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Glacier Point Trail",0.6,262,"Out & Back",216,"EASY|EASY|EASY|EASY|Out&Back|Out&Back|Out&Back|wheelchairfriendly|kidfriendly|birding|crosscountryskiing|hiking|naturetrips|snowshoeing|walking|forest|paved|views|waterfall|wildflowers|wildlife|snow|nodogs","EASY|EASY|EASY|EASY",4.5
"Donner Creek Loop Trail",5.1,1161,"Loop",377,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|birding|hiking|horsebackriding|naturetrips|trailrunning|walking|views|waterfall|wildflowers|wildlife|muddy|nodogs","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Mount Baldy via Devil's Backbone Trail",12.5,3956,"Out & Back",449,"HARD|HARD|HARD|HARD|Out&Back|Out&Back|Out&Back|dogsonleash|backpacking|birding|camping|hiking|naturetrips|trailrunning|walking|partiallypaved|views|wildlife","HARD|HARD|HARD|HARD",4.5
"South Fortuna Trail and Fortuna Saddle Trail Loop",5.8,1499,"Loop",579,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|dogsonleash|birding|hiking|naturetrips|trailrunning|walking|views|wildflowers|wildlife|rocky|scramble","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Seaview and Big Springs Trails Loop",4.3,984,"Loop",560,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|dogfriendly|kidfriendly|birding|hiking|horsebackriding|mountainbiking|naturetrips|trailrunning|walking|forest|views|wildflowers","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Michael D Antonovich Trail",6,416,"Out & Back",656,"EASY|EASY|EASY|EASY|Out&Back|Out&Back|Out&Back|dogfriendly|kidfriendly|birding|hiking|horsebackriding|mountainbiking|naturetrips|trailrunning|walking|lake|river|views|wildlife|bugs","EASY|EASY|EASY|EASY",4
"Potato Mountain Wilderness Trail",4.4,1148,"Out & Back",624,"HARD|HARD|HARD|HARD|Out&Back|Out&Back|Out&Back|dogsonleash|birding|hiking|naturetrips|roadbiking|trailrunning|walking|views|wildflowers|wildlife","HARD|HARD|HARD|HARD",4.5
"San Bernardino Peak Trail via Angelus Oaks",15.1,4642,"Out & Back",412,"HARD|HARD|HARD|HARD|Out&Back|Out&Back|Out&Back|dogsonleash|backpacking|camping|hiking|trailrunning|forest|river|views|wildlife|bugs|rocky|snow","HARD|HARD|HARD|HARD",4.5
"Mirror Lake via Valley Loop Trail",6.8,364,"Loop",464,"EASY|EASY|EASY|EASY|Loop|Loop|Loop|wheelchairfriendly|kidfriendly|birding|hiking|naturetrips|roadbiking|rockclimbing|snowshoeing|trailrunning|walking|forest|lake|paved|river|views|waterfall|wildflowers|wildlife|overgrown|rocky|scramble|snow|nodogs","EASY|EASY|EASY|EASY",4
"Skyline Drive",10.9,2227,"Out & Back",533,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|dogsonleash|birding|hiking|mountainbiking|naturetrips|rockclimbing|trailrunning|walking|cave|partiallypaved|views|muddy|rocky|washedout|noshade","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Big Pine Lakes Trail",13.5,3356,"Loop",306,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|dogfriendly|backpacking|birding|camping|hiking|naturetrips|trailrunning|walking|forest|lake|river|views|waterfall|wildflowers|wildlife","MODERATE|MODERATE|MODERATE|MODERATE",5
"Paintbrush Trail to Portugese Bend",5.7,1138,"Loop",483,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|dogfriendly|kidfriendly|birding|hiking|horsebackriding|mountainbiking|trailrunning|walking|beach|views|wildflowers|wildlife|rocky","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Bonita Falls Trail",1.5,334,"Out & Back",486,"MODERATE|MODERATE|MODERATE|MODERATE|Out&Back|Out&Back|Out&Back|dogsonleash|kidfriendly|birding|hiking|naturetrips|walking|forest|river|views|waterfall|wildflowers|wildlife|overgrown|rocky","MODERATE|MODERATE|MODERATE|MODERATE",4
"Ryan Mountain Trail",2.7,1062,"Out & Back",458,"EASY|EASY|EASY|EASY|Out&Back|Out&Back|Out&Back|kidfriendly|birding|hiking|naturetrips|trailrunning|walking|cave|partiallypaved|views|wildflowers|wildlife|rocky|nodogs","EASY|EASY|EASY|EASY",4.5
"Quicksilver Trail",4.9,767,"Loop",520,"MODERATE|MODERATE|MODERATE|MODERATE|Loop|Loop|Loop|dogsonleash|kidfriendly|birding|hiking|naturetrips|trailrunning|walking|forest|lake|views|wildflowers|wildlife|muddy","MODERATE|MODERATE|MODERATE|MODERATE",4.5
"Lake Anza, Wildcat Gorge, Meadows Canyon, Curran Trails",3.3,498,"Loop",257,"EASY|EASY|EASY|EASY|Loop|Loop|Loop|dogfriendly|kidfriendly|birding|hiking|horsebackriding|mountainbiking|naturetrips|trailrunning|walking|forest|lake|views|bugs|muddy","EASY|EASY|EASY|EASY",4
